step,n_features,features,feature_kinds,rmse,mae,n_test,removed_next,importances
0,2,count_lag_50|PRCP_lag_51,count|weather,2019.53,1566.56,52,PRCP_lag_51,count_lag_50:0.5543|PRCP_lag_51:0.4457
1,1,count_lag_50,count,2609.14,2199.52,52,,count_lag_50:1.0000
